tweet_id,customer_text,historical_reply,intent
1724,@AmazonHelp Deluxe edition on September 16th. It definitely had the pre orders on the profile because that’s why I ordered. Also why I paid for Prime..,"@116088 We'd like to see what we can do to help. What date did you place the order on, and which version did you order? ^MB",prime_membership
1726,@AmazonHelp Star Wars Battlefront 2 Elite Trooper Deluxe Edition Playstation 4 https://t.co/6K7WdDcY2P preorder info is in description. Thanks for help,@116088 Could you link us to the page of the item on our website? This will allow us to take a closer look at all options. ^VB,order_cancel_change
1728,@AmazonHelp But your website is offering pre order content.... so it’s just a lie?,@116088 Thanks for the link. We are not a participating retailer to receive the bonus content. Details: https://t.co/hJIrBtSMrl ^BE,delivery_tracking
1729,@AmazonHelp So to get this straight. I get nothing at all for preordering?,@116088 Thanks for the link. We are not a participating retailer to receive the bonus content. Details: https://t.co/hJIrBtSMrl ^BE,order_cancel_change
1730,@AmazonHelp I’ve cancelled my order and gone to Best Buy. Thank you.,@116088 Thanks for the link. We are not a participating retailer to receive the bonus content. Details: https://t.co/hJIrBtSMrl ^BE,order_cancel_change
1735,"@AmazonHelp Fulfilled by Amazon. It’s quite disturbing you’re selling counterfeit items, and can’t be trusted.",@116091 Oh no! I'm so sorry to hear this. Was the item sold by Amazon directly or Third-party seller: https://t.co/aaDyEz1VgE. ^LH,other
1738,@AmazonHelp Already have and the assistance I received was absolutely useless and rude.,"@116091 We'd like to look into this with you in real time, Bry. When you can, please ring or chat in with us: https://t.co/JzP7hlA23B ^BL",delivery_tracking
1740,@AmazonHelp I have. No luck.,"@116092 Oh no, Barton! Have you tried uninstalling and re-installing the app? Perhaps a power cycle too? Please let us know. ^KL",other
1744,@AmazonHelp It’s not allowing me to update it to register my new amazon account. I read I’d have to do so manually. Thx 4 response.,"@116093 Oh no! We'd like to help you with this, Kelly! Can you tell us more about what's happening with the Kindle? Thanks!  ^AJ",account_access
1751,@AmazonHelp Yep. I’m going to take it to the MegaAlexa at Whole Foods.,@116095 I'm sorry you received an incorrect item. Have you checked out our return/replacement options here: https://t.co/FRsodhtXKJ? ^FJ,product_support
2533,"@AmazonHelp 先日教えていただいたように、fireTVstickとルーターの両方を再起動してみたら、前回のようには途切れなくなりました！ありがとうございます😊今の所大丈夫ですが、あとは72時間TV当日に接続が切れてしまわないように祈るのみです...。
お礼と報告まで。 https://t.co/hS5VmxuIfX",@116312 こちらこそリプライいただきありがとうございます！ご様子を見ていただき、改善されない場合、お早目にカスタマーサービスにご連絡いただければと存じます。よろしくお願いいたします m(_ _)m HM,product_support
2535,@AmazonHelp ご丁寧にありがとうございます！トライしてみて改善されなければCSへご連絡します。返信いただけると思っていなかったので本当に嬉しいです！,"@116312 かしこまりました。端末、ルーター、モデムを再起動し改善するかお試しください。https://t.co/mUMGYDqPEM
改善しない場合、カスタマーサービスにお知らせください。https://t.co/NtNAX37Sr4 ET https://t.co/kp0Ug6rMsZ",acknowledgement
2537,"@AmazonHelp ありがとうございます！
テレビにstickを接続しているのですが、WiFi接続がすぐに切れてしまい、数分しか見ることができません。",@116312 アマゾンです。お困りの状況が特定できないのですが、エラーメッセージや画面の状況、操作方法など詳しい状況を教えていただけますか。ご利用端末はテレビですかPS4などのゲーム機でしょうか。ET,product_support
2543,"@AmazonHelp Just now, don't use Amazon much so didn't know the process if you don't receive an item",@116314 How long has it been since you've e-mailed the seller? ^TR,other
2544,@AmazonHelp Wasn't tracked as sent via Royal Mail. I've emailed the seller.,@116314 We're unable to view any account information via Twitter. What's the current tracking shown here: https://t.co/aaDyEz1VgE? ^AG,other
2547,@AmazonHelp Yeah I sent you a DM too. Had an email saying when it had been dispatched but nothing since.,@116314 I'm sorry you haven't received it yet! Have you had an e-mail regarding the order? Please check junk/spam and let us know! ^TG,delivery_tracking
2551,"@AmazonHelp I'm learning German, so I don't really mind between German/English. If I have to choose, I say German.","@116315 Hi, just a question at the beginning - do you prefer answers in German or English? ^NW",other
2555,@AmazonHelp I allowed it well past 8 PM. I was never notified about any other delays,"@116317 I'm so sorry for the late delivery, Kimmie! Our carriers can deliver until 8 PM, please keep us updated on its arrival. ^BE",other
2556,"@AmazonHelp I made a same day ship mid Monday and it said it would deliver that day. It didn’t. Today it still says out for delivery, still no show.",@116317 Hello! We'd love to help. Can you tell us a bit more about what's happening? ^EB,delivery_not_received
2567,@AmazonHelp Bummer! I was hoping to get it quick. Oh well! Thanks for the response.,"@116320 Most items are readily available for shipping; however, some aren't and may have a longer processing time than others. ^QJ",acknowledgement
2570,"@AmazonHelp yes i did,but amazonuk is not doing the refund process.if they do it .i will get the money",@116321 Have you had a chance to speak with your bank regarding the refund? ^EA,refund_payment
2572,@AmazonHelp i mailed amazonuk so many time. but i havent got any progress.customer care just saying thats in the billing section.no i havent got refund,@116321 When you last contacted us what information did we provide? Have you spoken with your bank to see if they have the refund? ^LR,refund_payment
2574,@AmazonHelp and redund issued on 13th https://t.co/1uydlorGCp no sing of my money and amazonuk just saying its in the billing department.no signof devlp,"@116321 I'm sorry for the frustration! Without giving personal/account details, could you tell us a bit more about what's going on? ^DG",refund_payment
2579,"@AmazonHelp legacy ""shared prime benefits"" account trying to join an amazon household of the prim. account holder to share echo and set up voice profile","@116322 I'm sorry for the frustration! Without giving account/personal details, can you please provide us with more info? ^AC",account_access
2584,@AmazonHelp Well ok but @116324 said it’s been dlvd so I can’t see how they will bother to deliver it now! I think they have washed their hands of it,@116323 I'm sorry your order hasn't arrived yet! Please let us know if you haven't received it within 48 hours. ^EB,delivery_tracking
2588,@AmazonHelp I have made many calls to Amazon CS. No resolution. Now what? Member since ‘98. Need corporate involved.,"@116325 We'd like another chance to look into this. Please reach out by phone or chat: https://t.co/hApLpMlfHN

Please keep us updated. ^FJ",human_escalation
2589,@AmazonHelp I’m not talking to customer service again. THATS part of the problem. I want someone in America @ corporate who can make decisions.,"@116325 We'd like another chance to look into this. Please reach out by phone or chat: https://t.co/hApLpMlfHN

Please keep us updated. ^FJ",human_escalation
2590,@AmazonHelp So I see that Amazon Twitter is staffed by the same people as customer service. Each answer here spoken by s different person (or bot),"@116325 We'd like another chance to look into this. Please reach out by phone or chat: https://t.co/hApLpMlfHN

Please keep us updated. ^FJ",acknowledgement
2591,@AmazonHelp No on the card. It works only half the time. Yes on USPS. They say my delivery person won’t deliver anything over 30 lbs. just sends it back,@116325 Have you tried deleting the card from the account and re-adding it? Have you reached out to USPS about these deliveries? ^AF https://t.co/1XyLaGkcaN,delivery_tracking
2594,@AmazonHelp Want to speak to someone at corp to address these issues.,@116325 Can you tell us what insight / advice was provided with when you spoke with us last? We'd like to help if we can. ^BG,human_escalation
2598,@AmazonHelp Multiple calls to call amazon call center with zero resolution and never a promised call back.,"@116325 Sorry for the poor experience. Without giving any account information, could you tell us what's going on? We'd love top help! ^MH",human_escalation
3723,@AmazonHelp Have completed form and emailed you.,"@116610 We'd like to take a look into this with you. When you have a moment, please reach out to us here: https://t.co/qy3J24VGxb ^AC",other
3724,@AmazonHelp There was only one costing a lot more than £20 and  FBA -stating eligibility !,@116610 Is everything in your basket eligible? You can find more info here: https://t.co/d1x19RiAXm Let us know if this helps! ^EB,refund_payment
3728,@AmazonHelp All of them,@116611 I'm sorry for the trouble! Have you tried the steps outlined here? https://t.co/POJ37mWiEk ^LA,other
3732,@AmazonHelp I can’t log in because it’s locked.,@116612 I'm sorry your account is locked! Please reach out directly to us here: https://t.co/jzvkhdlrK5 so we can take a closer look. ^TN,account_access
3736,@AmazonHelp Kann ich dann wenigstens mein Amazon-Konto aufladen um zu bezahlen. Ich habe keine Kreditkarte und möchte auch keine,@116613 Hier findest du alle Infos darüber: https://t.co/FSmvkW0SJB ^AS,other
3744,@AmazonHelp infórmese... no voy a perder más mi tiempo...,"@116616 David, te recomendamos no compartir informaciones personales por este medio, te sugerimos editar o eliminar este mensaje. (1/2)",other
3748,"@AmazonHelp Many times, but still failing, and it happen with some show",@116617 Have you already tried a restart? Kind regards ^NW,product_support
3751,@AmazonHelp Sadly yes,@116617 Is this still ongoing? What devices are you using? ^AN,other
3753,"@AmazonHelp Mac book pro, with Chrome",@116617 What devices are you using for Amazon Video? ^AN,acknowledgement
3756,"@AmazonHelp I need to change the language of my account to be able to get support, which I don't have the time to do, there's any other way to contact?",@116617 Hi! I just wanted to ask if my colleagues could assist you? Regards ^TA,account_access
4833,@AmazonHelp Thanks!  It was only a little awkward.... XD,"@116847 Uh oh! If you can't recover it, please reach out to us here and we'll see what options are available: https://t.co/VoPytkt92p ^MB",acknowledgement
4837,"@AmazonHelp アカウント凍結して不正アクセスを調べてもらうことになりました。
ありがとうございました。","@116848 アマゾンです。重ねてのご案内となりますが、カスタマーサービスにて状況を確認させていただきます。こちらからお問い合わせください。https://t.co/NtNAX2Qh2u  
サインインが出来ない場合は、フリーダイヤル：0120-999-373へ直接ご連絡ください。ET",other
4847,@AmazonHelp will i loose my account? Already tried help by link and by calling customer service,"@116849 I'm sorry. We can't access your account via Twitter. For assistance, please reach us here: https://t.co/jzvkhdlrK5 ^WT",account_access
4848,@AmazonHelp will i loose my account?I've tried help from that link and yesterday by phone customer service and no one is able to solve this,"@116849 I'm sorry. We can't access your account via Twitter. For assistance, please reach us here: https://t.co/jzvkhdlrK5 ^WT",account_access
4849,"@AmazonHelp how is Amazon going to solve this? By mail, text, call, customer phone service, no one is able to help me https://t.co/jhzCjY2bOw","@116849 I'm sorry. We can't access your account via Twitter. For assistance, please reach us here: https://t.co/jzvkhdlrK5 ^WT",other
4850,"@AmazonHelp already tried help by mail and still problem persist, please close my account and don't want to be a customer anymore https://t.co/m2g5tP26fX","@116849 I'm so sorry for the frustration, Luis. We should absolutely be able to help! Please contact us using the link TN provided. ^SD",account_access
4853,"@AmazonHelp no luck it keeps asking for code witch is not sending to my phone can Amazon eliminate the 2 step method, this is so frustrating",@116849 I'm sorry for the challenge signing in. Please use the link from above again so that we can help. Keep us updated! ^MH,other
4855,"@AmazonHelp no luck on receiving the code by text or call, will I loose my account, yesterday a phone representative tried to help already https://t.co/Yn5SUBQonU",@116849 Please reach out to us directly here: https://t.co/jzvkhdlrK5 We'd love to help get you logged in! ^TN,account_access
4857,@AmazonHelp USAs Amazon. Com,@116849 Sorry you're having problems logging in. Please let us know which Amazon site you are using (.com .es). Thanks. ^SE,other
4863,@AmazonHelp They said it was UPS. UPS says they never received the package to deliver ¯\_(ツ)_/¯,"@116851 I'm sorry for the poor experience, Skylar. Were you given a reason for the delay? Check here: https://t.co/KhGfgWxX2q ^FD",delivery_not_received
4866,"@AmazonHelp Amazon's tracking says it's ""Shipped &amp; Arriving Today by 8pm"" but UPS Tracking shows just that a label is created.","@116851 To confirm, what does the latest tracking update show? Please check here: https://t.co/eR31oAnsW2 ^BE",delivery_tracking
4946,@AmazonHelp Excelente servicio! Recibí mis paquetes hace un par de minutos!,"@116874 Gracias por la información, Quirino.
Por favor, contacta con nuestros colegas de Servicio al Cliente para una atención personalizada y puedan darte información precisa sobre tu paquete.
Lo puedes hacer a través del siguiente enlace: https://t.co/beR78zMMYB
^LC",other
4947,@AmazonHelp Solo dice “en reparto” pero no tiene un número de contacto con el repartidor que es de Amazon Services 😩,@116874 Quirino al ingresar al correo de confirmación de compra te aparecerá un enlace en el cual esta el número de guía de tu pedido. También puedes utilizar la siguiente información para contactar con el transportista:  https://t.co/mEKBC5rf63 ^PC,other
4950,@AmazonHelp No. Como puedo contactarlo,"@116874 ¡Hola, Quirino! Lamentamos cualquier confusión generada, ¿te has puesto en contacto con el transportista asignado a la entrega? ^LC",other
4956,@AmazonHelp I have no option but to see if my delivery arrives on the scheduled date. But I will contact customer services if it doesn't arrive on time.,"@116877 I'm sorry for the ongoing trouble with your deliveries! Have you had a chance to contact us about this: https://t.co/JzP7hlA23B? If so, what information or options were we able to offer? ^SB",delivery_tracking
5117,"@AmazonHelp I would like it replaced not refunded. But the sale is over, and doesn’t look like you have it in stock at the site. What are my other options?",@116912 I'm sorry your items arrived in these conditions. Let's explore your return or replacement options here: https://t.co/RbboDygtAu ^GG,refund_payment
5121,@AmazonHelp It's now a police matter. You could check the police report.,"@116913 We'd like to make sure this is addressed, Eric. Would you tell us more about what happened? ^AM",human_escalation
5127,@AmazonHelp And you guys have officially lost me as a customer. Was promised today...was never shipped. Give me my refund please so I may take my business else where. https://t.co/69tW0B5r9H,"@116914 I understand your frustration! Our team would like a chance to address this concern. At your convenience, include your details here: https://t.co/hKZOmv3DMU ^SJ",refund_payment
5128,"@AmazonHelp AMZL US Tracking ID TBA566517950000 it says delivered to mail room, I checked the mail and the front offce, the driver listed 1 package, in that one package was my XLR cables...I'm missing the controller.","@116914 I'm so sorry to hear your order was scanned as delivered when it wasn't. We'd like to help if we can. Just to confirm, who's the carrier shown on your order here: https://t.co/wBHsNpkyQZ? ^CC",delivery_not_received
5133,"@AmazonHelp No, I can't check. It shows nothing. And customer service rep was NO help.","@116915 I'm sorry for the frustration! We'd love to help but are unable to access your Amazon account via Twitter. You can view the latest tracking information for your order, including if it has shipped, here: https://t.co/Y5jpI9gRhE ^LR",other
5141,"@AmazonHelp いえいえ！
問題解決しました！！助かりました、ありがとうございます(´；ω；｀)
はい！これからもお世話になります〜🎶","@116918 突然のリプライで、驚かせてしまってすみませんでした (´・ω・`) 
また、お困りごとやご不明点などあれば、ご遠慮なくお声がけくださいませ。
引き続き、Amazonをよろしくお願いします(o*。_。)oペコッ",acknowledgement
5142,@AmazonHelp 親切にどうもありがとうございます(;_;)(;_;),"@116918 一部の商品では、コンビニ・ATM・ネットバンキング・電子マネー払いが選択できない場合がございます。詳細は、下記ご参照ください。https://t.co/VcRraQMtn0
なお、クレジットカード以外でのお支払いをご希望の場合は、Amazonギフト券のご利用をご検討くださいませ。TY",acknowledgement
5145,@AmazonHelp 今までコンビニで支払いが出きるという支払い方法でAmazonさんにお世話になっていたんですけど、選択画面にその支払い方法が表示されなくて、色々いじってみたんですけどどうにも……！,"@116918 おはようございます！(＾◇＾)
Amazonのお支払い方法にて、何かお困りでしたか？TY",other
5151,@AmazonHelp いつもお世話になってます(´ω`),"@116920 お褒めいただき('ω' )三('ω')三( 'ω')光栄ですっ！！
プライムの特典は様々ご準備しておりますので、ぜひご活用くださいませ~♪https://t.co/JVlaJGORZx TY",other
5155,@AmazonHelp Thank you so much once again for kinds of word,"@116921 Appreciate your kind words, Dhiraj. Enjoy your weekend. :) ^MK",acknowledgement
5158,@AmazonHelp Will you follow me on twitter,@116921 You're welcome Dhiraj. :),other
5281,@AmazonHelp I got a refund but I wanna check to see if it's actually lost,"@116922 Oh no! I'm sorry to hear your order hasn't arrived! Have you had a chance to contact us about this issue? If so, what options were we able to provide? We want to make sure this issue has been resolved for you! ^BN",refund_payment
5284,@AmazonHelp I’m looking to reroute all my packages (except 1) to a nearby Amazon locker. I’ll DM you now :),"@116923 We'd like to help in any way we can, Juan! I've enabled direct messaging. Without providing personal or account information, please tell us a little more about what's going on. ^FD https://t.co/1XyLaGkcaN",delivery_tracking
5290,@AmazonHelp चोट्टे,@116925 Kindly reach out our support team here: https://t.co/TdDksLo6Mf for more details on account closure. ^MK,other
5293,@AmazonHelp Solicitud (foto del estado de cuenta),"@116926 ¡Hola! Lamentamos cualquier molestia ocasionada, ¿puedes contarnos lo sucedido? ^LC",other
5307,"@AmazonHelp Can do, but that means I will miss out on Black Friday and Cyber Monday shopping.",@116932 Gotcha- Let us know if you haven't heard back from them on Tuesday. ^BL,other
5308,@AmazonHelp 10 hours ago.,@116932 Can you tell us when this information was submitted? Account Specialists can take up to 2 business days to investigate an account when the information has been sent. ^EZ,other
5310,@AmazonHelp Yes.,@116932 Did information get sent to our Accounts Specialists to look into when you contacted in? ^DO,other
5312,"@AmazonHelp Still not working.  They sent me a link to reset the password, try and sign in with new password and still locked out.","@116932 Thanks for letting us know about this, Jon. We're here to help! We can be reached 24/7 here: https://t.co/hApLpMlfHN. Please do keep us in the loop. ^BL",account_access
5317,"@AmazonHelp Danke für die schnelle Antwort... ja, ich werde mal nachfragen, was da schiefgelaufen sein soll. Ihnen auch einen schönen Abend noch.",@116933 Bei unzustellbaren Sendungen wird gewöhnlich nach Bearbeitung der Retoure eine Erstattung veranlasst. Den Grund können wir von hier aus leider nicht einsehen. Bei Fragen hierzu kannst du dich gerne per E-mail/Telefon an unseren Kundenservice wenden. Schönen Abend ^MH,acknowledgement
5321,"@AmazonHelp For now, at least, until Prime Music starts shitting on its subscribers just like @116618.",@116934 Listen ad-free with unlimited skips with Music Unlimited. Stream on!! ^RR,prime_membership
5327,@AmazonHelp But why has every item got  3+ days processing time when it's usually next day,"@116936 Prime shipping refers to transit time after your orders ship, in working days. Some orders require additional processing and handling. The delivery date shown at checkout is the most accurate.  ^LR",other
5328,@AmazonHelp Trying to place an order this happened before and deleting and rentering my address fixed it but now it's across multiple prime accounts to the same address,"@116936 Hi there, I'm sorry for the delivery troubles! Just to confirm, are you trying to place an order right now, or is this an ongoing issue? Are we missing the promised delivery dates here: https://t.co/aaDyEz1VgE? ^DW",account_access
5777,"@AmazonHelp Estoy al tlf con ellos, me lo reembolsan ahora mismo. Espero que ASM reciba algun tipo de sanción porque esto es una vergüenza.","@117084 Zainda, nos comentarías, ¿ya entraste en contacto con nuestro Servicio de Atención al Cliente? ^HC",other
5781,"@AmazonHelp poo. assinei hj pra ver a terceira e nada.. acha q so qnd acabar na tv americana? de qq forma, obrigado","@117085 Olá, H.o! No momento não temos previsão, mas qualquer novidade será anunciada diretamente no nosso site e redes sociais. ^CR",other
5784,"@AmazonHelp ご丁寧にありがとうございます！
逆に面白かったので全く問題ないです！ありがとうございます！",@117087 ご迷惑をおかけしております。お届けした商品に問題があった場合、Amazonが発送する商品は返品・交換（可能な商品のみ）にて対応させていただいております。お手数ですが、リンクをご参照の上お手続きください。https://t.co/TYbxdUDknb TN,acknowledgement
5792,"@AmazonHelp Okay, thanks so much!",@117089 (2/2) ... please reach out to us for real-time troubleshooting here: https://t.co/hApLpMlfHN ^WT,acknowledgement
5793,@AmazonHelp I’m trying off my fire stick,"@117089 I'm sorry, I see we do have both episodes available. Can you let us know which device you are streaming this on? ^EB",other
6957,@AmazonHelp Please call me,"@117198 When you have a moment, please phone us here: https://t.co/hApLpMlfHN ^RR",other
6960,@AmazonHelp Or you can provide me with a direct dial number and I’ll call it now,"@117198 If you follow the link ^RR provided, we'd love to give you a call. ^MH",other
6963,"@AmazonHelp Thank you. Spoke with customer service who was very nice &amp; helpful &amp; put me straight through to a Competent logistics person who documented issue, researched my acct &amp; was going to contact delivery Svc directly to ensure procedures followed. Time will tell. Thank you.",@117198 Hi there!  We are not able to see customer's account information here on Twitter.  Please reach out to us by calling 866-216-1072 and keep us updated on the outcome! ^SP,delivery_tracking
6961,@AmazonHelp I tried that and ended up On page to provide package feedback too difficult and I did not have the time to search for your customer service number so if you follow me we can direct Message one another and I can give you my cell phone,"@117198 If you follow the link ^RR provided, we'd love to give you a call. ^MH",delivery_tracking
6958,"@AmazonHelp Will do in morning. By the way, I’ve complained about this same issue 3 times and twice before directly to carrier.",@117198 I am so sorry this has happened. Can you please clarify the carrier for us? We want to assist! You can see that info here: https://t.co/WvaNTeDWQh ^BA,other
